title,author,star_score,genre,keywords,synopsis,Thumb,day,favorite_count,epi_cnt,completed_date,content
유리와 유리와 유리,요엔,9.97158,로맨스,"로맨스, 완결로맨스","금속공예학과 새내기 이유리는 자신의 고백을 거절했던 미술학원 선생님 권유리를 마주친다 그리고 같은 과의 또다른 동명이인 무뚝뚝하기로 소문난 차유리 선배는 유독 이유리에게 도움을 주는 일이 많아지는데
세 명의 유리가 만들어 나가는 삼각관계 캠퍼스 로맨스",https://image-comic.pstatic.net/webtoon/758661/thumbnail/thumbnail_IMAG21_3631362985348511798.jpg,,45085.0,71.0,22.05.25,"로맨스 로맨스, 완결로맨스 금속공예학과 새내기 이유리는 자신의 고백을 거절했던 미술학원 선생님 권유리를 마주친다 그리고 같은 과의 또다른 동명이인 무뚝뚝하기로 소문난 차유리 선배는 유독 이유리에게 도움을 주는 일이 많아지는데
세 명의 유리가 만들어 나가는 삼각관계 캠퍼스 로맨스"
평범한 낙원,후드새,9.89775,스릴러,"2020 지상최대공모전, 사이비종교, 스릴러, 완결스릴러","학교에서 매일 괴롭힘당하는 현서운은 하굣길에 이상한 시선을 느낀다
그리고 다음 날 자신을 괴롭히던 일진이 시체로 발견되는데
이제 평범한 학교생활을 할 수 있을 줄 알았지만 이게 끝이 아니었다
점점 드리우는 이상한 시선의 정체 누군가 나를 계속 지켜보고 있다
평범함을 향한 평범하지 않은 미스터리 스릴러",https://image-comic.pstatic.net/webtoon/772192/thumbnail/thumbnail_IMAG21_7291667788021982000.jpg,,28184.0,54.0,22.05.25,"스릴러 2020 지상최대공모전, 사이비종교, 스릴러, 완결스릴러 학교에서 매일 괴롭힘당하는 현서운은 하굣길에 이상한 시선을 느낀다
그리고 다음 날 자신을 괴롭히던 일진이 시체로 발견되는데
이제 평범한 학교생활을 할 수 있을 줄 알았지만 이게 끝이 아니었다
점점 드리우는 이상한 시선의 정체 누군가 나를 계속 지켜보고 있다
평범함을 향한 평범하지 않은 미스터리 스릴러"
이상형은 아닙니다,박윤영 / 은동이,9.62363,로맨스,"로맨스, 완결로맨스",연애 경험치 만렙 29살 여자와 연애는 커녕 썸 한번 못 타본 모쏠 29년차 남자의 완벽한 이상형 찾기 로맨스 연애 만렙 차은태앞에 나타난 모쏠남 김진현 최악의 패션감각에 술은 입에도 못대고 주말엔 집에서 게임하는 게 전부인 다른 세계에서 뚝떨어진 듯한 이 남자 차은태는 절대 이상형일리 없는 이 남자에게 점점 끌리기 시작한다,https://image-comic.pstatic.net/webtoon/776093/thumbnail/thumbnail_IMAG21_3486126072815237217.jpg,,115977.0,46.0,22.05.23,"로맨스 로맨스, 완결로맨스 연애 경험치 만렙 29살 여자와 연애는 커녕 썸 한번 못 타본 모쏠 29년차 남자의 완벽한 이상형 찾기 로맨스 연애 만렙 차은태앞에 나타난 모쏠남 김진현 최악의 패션감각에 술은 입에도 못대고 주말엔 집에서 게임하는 게 전부인 다른 세계에서 뚝떨어진 듯한 이 남자 차은태는 절대 이상형일리 없는 이 남자에게 점점 끌리기 시작한다"
길고양이 행진,몹시찰진우럭,9.95818,판타지,"판타지, 완결판타지","아르토리아의 작은 항구도시 해골촌
해골촌에는 나이에 상관없이 싸워서 이기면 형님이 되는 특이한 룰이 있다
해골촌의 거대한 사자 보나파르트 이야기를 시작으로 완다는 마을을 통째로 하늘에 띄운 강력한 마법사 
극장에 갇혀 일하는 노예 가수 던전 테마파크를 차린 마계인 재판에서 한번도 승리해 본적이 없는 변호사 등 아르토리아 사람들을 하나 둘 만나가게 되는데",https://image-comic.pstatic.net/webtoon/780988/thumbnail/thumbnail_IMAG21_7306583757680830051.jpg,,31866.0,101.0,22.05.23,"판타지 판타지, 완결판타지 아르토리아의 작은 항구도시 해골촌
해골촌에는 나이에 상관없이 싸워서 이기면 형님이 되는 특이한 룰이 있다
해골촌의 거대한 사자 보나파르트 이야기를 시작으로 완다는 마을을 통째로 하늘에 띄운 강력한 마법사 
극장에 갇혀 일하는 노예 가수 던전 테마파크를 차린 마계인 재판에서 한번도 승리해 본적이 없는 변호사 등 아르토리아 사람들을 하나 둘 만나가게 되는데"
유미의 작가 수칙,이동건,9.9273,일상,"완결일상, 완결무료, 일상","본 컨텐츠는 이동건 작가가 전하는 네이버의 브랜드 웹툰입니다
프로 작가의 삶을 살아가는 유미
창작의 고통 속에서 고민이 깊어지는데
어떻게 유미는 경쟁력을 키워나갈까",https://image-comic.pstatic.net/webtoon/793005/thumbnail/thumbnail_IMAG21_4122822495921595188.jpg,,30262.0,8.0,22.05.22,"일상 완결일상, 완결무료, 일상 본 컨텐츠는 이동건 작가가 전하는 네이버의 브랜드 웹툰입니다
프로 작가의 삶을 살아가는 유미
창작의 고통 속에서 고민이 깊어지는데
어떻게 유미는 경쟁력을 키워나갈까"
마루한 - 구현동화전,박성우,9.88685,무협/사극,"무협/사극, 먼치킨, 완결무협/사극","책을 읽는 것 만으로도 강해지는 마루한
그가 읽어가는 무협 동화 이야기",https://image-comic.pstatic.net/webtoon/624632/thumbnail/thumbnail_IMAG21_7365745159166963810.jpg,,163121.0,165.0,22.05.21,"무협/사극 무협/사극, 먼치킨, 완결무협/사극 책을 읽는 것 만으로도 강해지는 마루한
그가 읽어가는 무협 동화 이야기"
오늘 밤만 재워줘,유나나 / 해번,9.77135,로맨스,"소설원작, 로맨스, 완결로맨스","28살 모태솔로 감규리 드디어 남자에게 고백을 받았는데 
술에 취해 기억이 나지 않는다",https://image-comic.pstatic.net/webtoon/759641/thumbnail/thumbnail_IMAG21_3761742859341085029.jpg,,92563.0,67.0,22.05.21,"로맨스 소설원작, 로맨스, 완결로맨스 28살 모태솔로 감규리 드디어 남자에게 고백을 받았는데 
술에 취해 기억이 나지 않는다"
사심폭발 로망스,상림(메리J) / 묘묘리,9.69855,로맨스,"소설원작, 로맨스, 완결로맨스","재력 능력 마성의 매력 그리고 신이 공들여 빚은 Masterpiece라 불리는 빛나는 외모까지 겸비한 탐나는 남자 마윤 그룹의 후계자 마성훈
그러나 여자를 질색한다는 치명적 약점이 있었으니 성훈을 둘러싼 하반신 몹쓸설 고자설 게이설을 잠재우기 위해 특파된 여자 강덕심
오늘부터 깐깐하고 고리타분한 중년의 여비서로 새로 태어나 그의 곁에서 살아남아야 한다 10억을 위해 그리고 잘생긴 얼굴을 보기 위해",https://image-comic.pstatic.net/webtoon/784810/thumbnail/thumbnail_IMAG21_3546927076489651298.jpg,,62173.0,51.0,22.05.18,"로맨스 소설원작, 로맨스, 완결로맨스 재력 능력 마성의 매력 그리고 신이 공들여 빚은 Masterpiece라 불리는 빛나는 외모까지 겸비한 탐나는 남자 마윤 그룹의 후계자 마성훈
그러나 여자를 질색한다는 치명적 약점이 있었으니 성훈을 둘러싼 하반신 몹쓸설 고자설 게이설을 잠재우기 위해 특파된 여자 강덕심
오늘부터 깐깐하고 고리타분한 중년의 여비서로 새로 태어나 그의 곁에서 살아남아야 한다 10억을 위해 그리고 잘생긴 얼굴을 보기 위해"
정년이,서이레 / 나몬,9.96652,드라마,"드라마, 완결드라마, 직업드라마, 성장드라마","가진 것 없고 배운 것 없지만 소리 하나만큼은 타고난 목포 소녀 정년 
정년의 꿈은 여성 국극단에 들어가 부자가 되는 것인데 
배워야 할 것은 많고 주연 배우 자리는 멀기만 하다 
과연 정년은 대 스타가 부자가 될 수 있을까",https://image-comic.pstatic.net/webtoon/726214/thumbnail/thumbnail_IMAG21_7220450198503842097.jpg,,173954.0,138.0,22.05.16,"드라마 드라마, 완결드라마, 직업드라마, 성장드라마 가진 것 없고 배운 것 없지만 소리 하나만큼은 타고난 목포 소녀 정년 
정년의 꿈은 여성 국극단에 들어가 부자가 되는 것인데 
배워야 할 것은 많고 주연 배우 자리는 멀기만 하다 
과연 정년은 대 스타가 부자가 될 수 있을까"
화사 홍천기,유승진,9.79598,드라마,"드라마, 완결드라마","세종은 문화를 사랑하고 온화한 임금이지만 고려 왕가의 문화재라면 치를 떠는 인물 
그런 세종은 수양대군과 안평대군에게 이를 찾아서 파괴하라는 밀명을 내린다 
예술품을 사랑하는 안평대군은 우연한 계기로 홍천기를 만나게 되고 그녀가 그림에 재주가 있으나 여자라 이유로 차별받고  사회적 진출이 막혀있음을 알게 된다 
안평대군은 뒷배를 봐주는 조건으로 홍천기에게 모조품을 만드는 비밀 임무를 제안한다 
하지만 이를 눈치챈 수양대군은 이들을 옥죄여오기 시작하는데",https://image-comic.pstatic.net/webtoon/794416/thumbnail/thumbnail_IMAG21_7004567679758983479.jpg,,1686.0,40.0,22.05.16,"드라마 드라마, 완결드라마 세종은 문화를 사랑하고 온화한 임금이지만 고려 왕가의 문화재라면 치를 떠는 인물 
그런 세종은 수양대군과 안평대군에게 이를 찾아서 파괴하라는 밀명을 내린다 
예술품을 사랑하는 안평대군은 우연한 계기로 홍천기를 만나게 되고 그녀가 그림에 재주가 있으나 여자라 이유로 차별받고  사회적 진출이 막혀있음을 알게 된다 
안평대군은 뒷배를 봐주는 조건으로 홍천기에게 모조품을 만드는 비밀 임무를 제안한다 
하지만 이를 눈치챈 수양대군은 이들을 옥죄여오기 시작하는데"
